locatable_id,locatable_type,borough,neighborhood,address,lat,lng
64,Restaurant,manhattan,midtown_east,"711 2nd Ave, New York, NY 10016",40.747616,-73.97422
65,Restaurant,manhattan,west_village,"104 Macdougal St, New York, NY 10012",40.729406,-74.000876
66,Restaurant,brooklyn,park_slope,"331 5th Ave, Brooklyn, NY 11215",40.672376,-73.983493
67,Restaurant,manhattan,financial_district,"259 Front St, New York, NY 10038",40.708084,-74.000527
68,Restaurant,manhattan,midtown_east,"430 3rd Ave, New York, NY",40.743188,-73.980208
69,Restaurant,manhattan,east_village,"165 Avenue A, New York, NY 10009",40.728181,-73.982189
70,Restaurant,manhattan,west_village,"60 W 8th St, New York, NY 10011",40.733323,-73.999104
71,Restaurant,queens,astoria,"37-11 30th Ave, Astoria, NY 11103",40.764553,-73.915994
72,Restaurant,manhattan,east_village,"129 2nd Ave, New York, NY 10003",40.728511,-73.98814
73,Restaurant,manhattan,chelsea,"291 7th Ave New York, NY 10001",40.7462287,-73.9938293
74,Restaurant,manhattan,flatiron,"66 Madison Ave, New York, NY 10016",40.743759,-73.986362
75,Restaurant,manhattan,harlem,"1028 Amsterdam Ave, New York, NY",40.7992517,-73.9558762
76,Restaurant,manhattan,midtown_east,"320 Lexington Ave, New York, NY 10016",40.749257,-73.977952
77,Restaurant,manhattan,harlem,"2276 12th Ave, New York, NY 10027",40.817998,-73.960982
78,Restaurant,manhattan,chelsea,"166 8th Ave, New York, NY 10011",40.742322,-74.000232
79,Restaurant,manhattan,midtown_east,"544 3rd Ave, New York, NY 10016",40.747267,-73.977369
80,Restaurant,brooklyn,williamsburg,"558 Driggs Ave, New York, NY 11211",40.716996,-73.9567967
81,Restaurant,manhattan,west_village,"124 MacDougal Street, New York, NY 10012",40.729905,-74.000246
82,Restaurant,manhattan,hell's_kitchen,"600 11th Avenue, New York, NY 10036",,
83,Restaurant,manhattan,hell's_kitchen,"675 9th Avenue, New York, NY 10019",,
84,Restaurant,manhattan,midtown_east,"429 3rd Avenue, New York, NY 10016",,
85,Restaurant,brooklyn,bed_stuy,"202 Ralph Avenue, Brooklyn, NY 11233",,
86,Restaurant,manhattan,upper_east_side,"1762 1st Ave, New York, NY 10128",,
87,Restaurant,brooklyn,bushwick,"261 Moore St, Brooklyn, NY",40.7050622,-73.9335866
88,Restaurant,manhattan,gramercy,"430 2nd Ave, New York, NY",,
