shift_id,rider_id,status
383,70,confirmed
384,17,confirmed
385,16,confirmed
386,70,confirmed
387,60,confirmed
388,17,confirmed
389,70,confirmed
390,17,confirmed
391,60,confirmed
392,197,confirmed
393,49,confirmed
394,,cancelled_by_rider
395,7,confirmed
396,51,confirmed
397,119,confirmed
398,32,confirmed
399,32,confirmed
400,32,confirmed
401,68,confirmed
402,119,confirmed
403,68,confirmed
404,119,confirmed
405,119,confirmed
406,32,confirmed
407,32,confirmed
408,32,confirmed
409,68,confirmed
410,,cancelled_by_rider
411,,cancelled_by_rider
412,27,confirmed
413,28,confirmed
414,28,confirmed
415,28,confirmed
416,19,confirmed
417,49,confirmed
418,24,confirmed
419,77,confirmed
420,43,confirmed
421,43,confirmed
422,43,confirmed
423,56,confirmed
424,65,cancelled_by_rider
425,65,confirmed
426,65,confirmed
427,49,confirmed
428,29,confirmed
429,29,confirmed
430,29,confirmed
431,29,confirmed
432,29,confirmed
433,69,confirmed
434,29,confirmed
435,49,confirmed
436,17,confirmed
437,73,confirmed
438,73,confirmed
439,148,confirmed
440,24,confirmed
441,111,confirmed
442,56,cancelled_by_rider
443,21,confirmed
444,148,confirmed
445,148,confirmed
446,49,confirmed
447,66,confirmed
448,24,confirmed
449,111,confirmed
450,32,confirmed
451,121,confirmed
452,27,confirmed
453,58,confirmed
454,11,confirmed
455,11,confirmed
456,24,cancelled_by_rider
457,24,cancelled_by_rider
458,17,cancelled_by_rider
459,,cancelled_by_rider
460,11,confirmed
461,71,confirmed
462,11,confirmed
463,71,confirmed
464,11,confirmed
465,71,confirmed
466,71,confirmed
467,42,confirmed
468,61,confirmed
469,61,confirmed
470,61,confirmed
471,61,confirmed
472,42,confirmed
473,42,confirmed
474,35,confirmed
475,35,confirmed
476,111,confirmed
477,32,confirmed
478,119,confirmed
479,32,confirmed
480,19,confirmed
481,19,confirmed
482,32,confirmed
483,58,confirmed
484,196,confirmed
485,32,confirmed
486,119,confirmed
487,58,confirmed
488,196,confirmed
489,32,confirmed
490,119,confirmed
491,19,confirmed
492,,cancelled_by_rider
493,119,confirmed
494,32,confirmed
495,57,confirmed
496,57,confirmed
497,57,confirmed
498,57,confirmed
499,77,confirmed
500,77,confirmed
501,77,confirmed
502,77,confirmed
503,57,confirmed
504,57,confirmed
505,77,confirmed
506,77,confirmed
507,77,confirmed
508,77,confirmed
509,20,confirmed
510,20,confirmed
511,20,confirmed
512,32,confirmed
513,20,confirmed
514,12,confirmed
515,12,confirmed
516,12,confirmed
517,12,confirmed
518,21,confirmed
519,21,confirmed
520,148,confirmed
521,7,confirmed
522,73,confirmed
523,7,confirmed
524,7,confirmed
525,61,confirmed
526,42,confirmed
527,42,confirmed
528,,cancelled_by_rider
529,,cancelled_by_rider
530,19,cancelled_by_rider
531,,cancelled_by_rider
532,19,confirmed
533,19,confirmed
534,27,confirmed
535,76,confirmed
536,44,confirmed
537,64,confirmed
538,59,confirmed
539,,cancelled_by_rider
540,,cancelled_by_rider
541,64,confirmed
542,59,confirmed
543,76,confirmed
544,27,confirmed
545,9,confirmed
546,59,confirmed
547,44,confirmed
548,76,confirmed
549,59,confirmed
550,44,confirmed
551,9,confirmed
552,73,confirmed
553,196,cancelled_by_rider
554,42,confirmed
555,21,confirmed
556,61,confirmed
557,148,confirmed
558,61,confirmed
559,14,confirmed
560,61,confirmed
561,21,confirmed
562,61,confirmed
563,148,confirmed
564,42,confirmed
565,148,confirmed
566,42,confirmed
567,21,confirmed
568,14,confirmed
569,14,confirmed
570,24,confirmed
571,24,confirmed
572,24,confirmed
573,14,confirmed
574,12,confirmed
575,69,confirmed
576,69,confirmed
577,69,confirmed
578,69,confirmed
579,17,confirmed
580,17,confirmed
581,69,confirmed
582,148,confirmed
583,7,confirmed
584,30,confirmed
585,111,confirmed
586,111,confirmed
587,111,confirmed
588,70,confirmed
589,111,confirmed
590,70,confirmed
591,111,confirmed
592,14,confirmed
593,24,confirmed
594,14,confirmed
595,51,confirmed
596,51,cancelled_by_rider
597,121,confirmed
598,72,confirmed
599,1,confirmed
600,1,confirmed
601,1,confirmed
602,49,confirmed
603,17,confirmed
604,12,confirmed
605,60,confirmed
606,17,confirmed
607,12,confirmed
608,24,cancelled_by_rider
609,17,confirmed
610,49,confirmed
611,197,confirmed
612,27,confirmed
613,27,confirmed
614,70,confirmed
615,60,confirmed
616,60,confirmed
617,197,confirmed
618,27,confirmed
619,49,confirmed
620,197,confirmed
621,27,confirmed
622,49,confirmed
623,17,confirmed
624,197,confirmed
625,,cancelled_by_rider
626,3,confirmed
627,,cancelled_by_rider
628,69,confirmed
629,68,confirmed
630,68,confirmed
631,1,confirmed
632,32,confirmed
633,66,confirmed
634,119,confirmed
635,119,confirmed
636,21,confirmed
637,69,confirmed
638,68,confirmed
639,68,confirmed
640,1,confirmed
641,32,confirmed
642,,cancelled_by_rider
643,,cancelled_by_rider
644,27,confirmed
645,28,confirmed
646,28,confirmed
647,28,confirmed
648,28,confirmed
649,28,confirmed
650,43,confirmed
651,77,confirmed
652,43,cancelled_by_rider
653,,cancelled_by_rider
654,,cancelled_by_rider
655,,cancelled_by_rider
656,65,confirmed
657,65,confirmed
658,49,confirmed
659,29,confirmed
660,29,confirmed
661,29,confirmed
662,29,confirmed
663,29,confirmed
664,69,confirmed
665,29,confirmed
666,49,confirmed
667,17,confirmed
668,27,confirmed
669,73,confirmed
670,73,confirmed
671,,cancelled_by_rider
672,60,confirmed
673,61,confirmed
674,24,confirmed
675,24,confirmed
676,148,confirmed
677,,cancelled_by_rider
678,,cancelled_by_rider
679,24,confirmed
680,,cancelled_by_rider
681,24,confirmed
682,24,confirmed
683,21,confirmed
684,14,confirmed
685,32,confirmed
686,61,confirmed
687,49,cancelled_by_rider
688,60,confirmed
689,58,confirmed
690,21,confirmed
691,,unassigned
692,68,confirmed
693,,cancelled_by_rider
694,51,confirmed
695,,cancelled_by_rider
696,,cancelled_by_rider
697,43,confirmed
698,9,confirmed
699,,cancelled_by_rider
700,,cancelled_by_rider
701,60,confirmed
702,58,confirmed
703,58,confirmed
704,11,confirmed
705,60,confirmed
706,11,confirmed
707,60,confirmed
708,11,confirmed
709,71,confirmed
710,71,confirmed
711,11,confirmed
712,42,confirmed
713,61,confirmed
714,61,confirmed
715,61,confirmed
716,61,confirmed
717,42,confirmed
718,42,confirmed
719,35,confirmed
720,35,confirmed
721,111,confirmed
722,32,confirmed
723,119,confirmed
724,196,confirmed
725,32,confirmed
726,32,confirmed
727,119,confirmed
728,196,confirmed
729,32,confirmed
730,19,confirmed
731,58,confirmed
732,32,confirmed
733,31,confirmed
734,119,confirmed
735,19,confirmed
736,31,confirmed
737,119,confirmed
738,32,confirmed
739,31,confirmed
740,57,confirmed
741,57,confirmed
742,57,confirmed
743,57,confirmed
744,77,confirmed
745,77,confirmed
746,57,confirmed
747,57,confirmed
748,57,confirmed
749,57,confirmed
750,197,confirmed
751,197,confirmed
752,197,confirmed
753,197,confirmed
754,20,confirmed
755,20,confirmed
756,20,confirmed
757,20,confirmed
758,20,confirmed
759,12,confirmed
760,12,confirmed
761,12,confirmed
762,12,confirmed
763,21,confirmed
764,12,confirmed
765,12,confirmed
766,43,confirmed
767,43,confirmed
768,16,confirmed
769,16,confirmed
770,16,confirmed
771,61,confirmed
772,42,confirmed
773,42,confirmed
774,19,confirmed
775,1,confirmed
776,21,confirmed
777,21,confirmed
778,19,confirmed
779,19,confirmed
780,27,confirmed
781,76,confirmed
782,44,confirmed
783,44,confirmed
784,59,confirmed
785,76,confirmed
786,44,confirmed
787,64,confirmed
788,59,confirmed
789,76,confirmed
790,27,cancelled_by_rider
791,44,confirmed
792,59,confirmed
793,44,confirmed
794,27,confirmed
795,59,confirmed
796,60,confirmed
797,198,confirmed
798,77,confirmed
799,27,confirmed
800,42,confirmed
801,21,confirmed
802,64,confirmed
803,61,confirmed
804,21,confirmed
805,24,confirmed
806,61,confirmed
807,148,confirmed
808,14,confirmed
809,61,confirmed
810,148,confirmed
811,14,confirmed
812,61,confirmed
813,119,confirmed
814,111,confirmed
815,42,confirmed
